av,title,Up主,收藏数,是否收费,播放量,投稿时间,发布时间,弹幕数,评论数,标签
54767500,《一拳超人》龙卷和光头PK后看清实力差距了吗？,TheHigh_,703,0,534219,1559846450,2019/6/7 2:40,544,1199,"一拳超人,热血,综漫,动漫杂谈,英雄,埼玉,动画短片,漫画"
55115506,柯南boss揭晓终于TV化！其中究竟包含什么秘密？,哀是麦子的球迷,16530,0,529697,1560095237,2019/6/9 23:47,3318,2001,"动漫杂谈,名侦探柯南,柯南,灰原哀,黑衣组织"
53977183,【乱入】当埼玉转学到3年E班，琦玉老师vs杀老师「上集」,燚之龙斩者,4718,0,514419,1559447034,2019/5/29 19:47,267,1111,"一拳超人,埼玉,杀老师,一拳超人第二季,乱入,暗杀教室"
56725297,【火影人物志43】团藏是怎样死去的？真正的“根”就应该待在土里！,四季萌芽,9880,0,514162,1561392611,2019/6/24 23:14,3362,2844,"火影忍者,动漫杂谈,团藏,热血,童年,盘点,火影,动漫,二次元,四季萌芽"
53934751,锥子脸一线大模特，一张嘴二百多颗牙《伊藤润二：时尚模特》,章脑丸,3035,0,510233,1559124063,2019/5/29 18:00,838,738,"全勤挑战,恐怖,伊藤润二,动漫杂谈,伊藤润二惊选集,惊悚,时尚模特,动漫,搞笑"
53920629,一拳超人2 08 警犬侠VS饿狼 水龙VS怪人 琦玉老师珊珊来迟  剧情向AMV,滑鸡的大树,933,0,503004,1561565038,2019/5/29 8:13,224,1498,"剪辑,多素材,新番,动漫杂谈,一拳超人第2季,一拳超人,AMV,mad,一拳超人第二季,新番相关"
53525458,【4月】鬼灭之刃 08【独家正版】,哔哩哔哩番剧,15,0,3884401,1559404800,2019/5/26 0:00,47511,8006,"TV动画,BILIBILI正版"
53957851,【1月】盾之勇者成名录 21【独家正版】,哔哩哔哩番剧,7,0,3713975,1559743200,2019/5/29 22:00,43076,17274,"TV动画,BILIBILI正版"
54247495,【4月】鬼灭之刃 09【独家正版】,哔哩哔哩番剧,10,0,3544251,1560009600,2019/6/2 0:00,24528,12880,"TV动画,BILIBILI正版"
54547432,【1月】盾之勇者成名录 22【独家正版】,哔哩哔哩番剧,13,0,3328304,1560348000,2019/6/5 22:00,45051,8033,"TV动画,BILIBILI正版"
54855871,【4月】鬼灭之刃 10【独家正版】,哔哩哔哩番剧,14,0,3264132,1560614400,2019/6/9 0:00,57287,6778,"TV动画,BILIBILI正版"
55160408,【1月】盾之勇者成名录 23【独家正版】,哔哩哔哩番剧,7,0,2879993,1560952800,2019/6/12 22:00,46150,4224,"TV动画,BILIBILI正版"
53785875,【1月】多罗罗 20【独家正版】,哔哩哔哩番剧,7,0,2766362,1559570400,2019/5/27 22:00,34911,4755,"TV动画,BILIBILI正版"
53940802,【4月】贤者之孙 08,哔哩哔哩番剧,9,0,2742000,1559748600,2019/5/29 23:30,32216,7311,"TV动画,BILIBILI正版"
53458423,【10月】JOJO的奇妙冒险 黄金之风 31【独家正版】,哔哩哔哩番剧,12,0,2723179,1559324100,2019/5/25 1:35,50120,14213,"TV动画,BILIBILI正版"
55547365,【4月】鬼灭之刃 11【独家正版】,哔哩哔哩番剧,7,0,2687895,1561219200,2019/6/16 0:00,52245,7869,"TV动画,BILIBILI正版"
54467152,【1月】多罗罗 21【独家正版】,哔哩哔哩番剧,7,0,2612245,1560175200,2019/6/3 22:00,31596,9685,"TV动画,BILIBILI正版"
54850659,【10月】JOJO的奇妙冒险 黄金之风 33【独家正版】,哔哩哔哩番剧,8,0,2513220,1560533700,2019/6/8 1:35,49856,21816,"TV动画,BILIBILI正版"
54163745,【10月】JOJO的奇妙冒险 黄金之风 32【独家正版】,哔哩哔哩番剧,12,0,2383557,1559928900,2019/6/1 1:35,23776,16495,"TV动画,BILIBILI正版"
55569859,【10月】JOJO的奇妙冒险 黄金之风 34【独家正版】,哔哩哔哩番剧,11,0,2348572,1561138500,2019/6/15 1:35,45582,16527,"TV动画,BILIBILI正版"
54621193,【4月】贤者之孙 09,哔哩哔哩番剧,9,0,2346449,1560353400,2019/6/5 23:30,66668,5228,"TV动画,BILIBILI正版"
55174977,【1月】多罗罗 22【独家正版】,哔哩哔哩番剧,7,0,2265785,1560780000,2019/6/10 22:00,35059,8915,"TV动画,BILIBILI正版"
55978664,【1月】盾之勇者成名录 24【独家正版】,哔哩哔哩番剧,10,0,1999356,1561557600,2019/6/19 22:00,33490,5944,"TV动画,BILIBILI正版"
55353781,【4月】贤者之孙 10,哔哩哔哩番剧,15,0,1939516,1560958200,2019/6/12 23:30,23828,3810,"TV动画,BILIBILI正版"
55899150,【1月】多罗罗 23【独家正版】,哔哩哔哩番剧,9,0,1660881,1561384800,2019/6/17 22:00,45683,11066,"TV动画,BILIBILI正版"
53971202,【4月】CAROLE &amp; TUESDAY 08【独家正版】,哔哩哔哩番剧,9,0,1641814,1559766600,2019/5/30 4:30,29080,8954,"TV动画,BILIBILI正版"
54631780,【4月】CAROLE &amp; TUESDAY 09【独家正版】,哔哩哔哩番剧,13,0,1505525,1560371400,2019/6/6 4:30,56209,5682,"TV动画,BILIBILI正版"
53525238,【4月】我们无法一起学习 08【独家正版】,哔哩哔哩番剧,6,0,1497638,1559408400,2019/5/26 1:00,25703,3350,"TV动画,BILIBILI正版"
54247035,【4月】我们无法一起学习 09【独家正版】,哔哩哔哩番剧,6,0,1455566,1560013200,2019/6/2 1:00,19662,6674,"TV动画,BILIBILI正版"
56426667,【4月】鬼灭之刃 12【独家正版】,哔哩哔哩番剧,9,0,1404610,1561219200,2019/6/22 23:59,33903,5716,"TV动画,BILIBILI正版"
56100018,【4月】贤者之孙 11,哔哩哔哩番剧,6,0,1322138,1561563000,2019/6/19 23:30,17089,2808,"TV动画,BILIBILI正版"
54802267,【4月】我们无法一起学习 10【独家正版】,哔哩哔哩番剧,5,0,1294016,1560618000,2019/6/9 1:00,28752,3089,"TV动画,BILIBILI正版"
56355573,【10月】JOJO的奇妙冒险 黄金之风 35【独家正版】,哔哩哔哩番剧,10,0,1264228,1561138500,2019/6/22 1:35,31396,14094,"TV动画,BILIBILI正版"
55342555,【4月】CAROLE &amp; TUESDAY 10【独家正版】,哔哩哔哩番剧,8,0,1209651,1560976200,2019/6/13 4:30,29341,5558,"TV动画,BILIBILI正版"
54144421,【4月】文豪野犬 第三季 08【独家正版】,哔哩哔哩番剧,11,0,1128250,1559914200,2019/5/31 21:30,18673,5696,"TV动画,BILIBILI正版"
55547512,【4月】我们无法一起学习 11【独家正版】,哔哩哔哩番剧,7,0,1066417,1561222800,2019/6/16 1:00,37147,2883,"TV动画,BILIBILI正版"
