出现时间,弹幕模式,字号,颜色,发送时间,弹幕池,发送者id,rowID,弹幕内容
00:01:29,1,25,16777215,Fri Mar 24 15:03:49 2017,0,ea2a3121,3134137546,这里阿修罗好帅   不过对攻来说颜值不算什么
00:01:29,4,25,15138834,Mon May 22 18:06:37 2017,0,2b661261,3391749873,会值得
00:01:29,5,25,16724991,Thu Sep 29 23:11:53 2016,0,29f3186a,2462105951,最美丽的感动
00:01:30,1,25,16777215,Tue Aug  1 12:44:33 2017,0,90645902,3633822069,我们中间出了一个黑长直叛徒
00:01:31,5,25,16724991,Thu Sep 29 23:11:54 2016,0,29f3186a,2462107029,会值得用一生守候
00:01:32,1,25,16777215,Mon Aug  8 01:01:33 2016,0,f5357308,2225336325,柱斑！！！
00:01:32,1,25,16777215,Mon Jan 23 19:07:59 2017,0,9294b7b1,2888937838,眼缘啊啊啊啊啊
00:01:32,1,25,16777215,Sun Feb 12 14:02:33 2017,0,e5965e40,2994899524,刷因修的，拜托看看视频简介
00:01:32,4,25,15138834,Mon May 22 18:06:37 2017,0,2b661261,3391751081,用一生守候
00:01:33,1,25,16707842,Thu Aug 18 12:12:50 2016,0,9bb3afc5,2285758093,修因啊，宇智波家族哪有攻？
00:01:33,1,25,16777215,Fri Jul 29 15:03:40 2016,0,64bde066,2167824499,别ky好吗简介有写cp
00:01:33,1,25,16777215,Mon Jul 11 22:10:15 2016,0,2907a8ac,2071607553,我个性签名就是这个歌词
00:01:33,1,25,16777215,Sat Apr  6 12:39:45 2019,0,e60122df,14356793297207298,为什么阿修罗比柱间还帅，阿修罗一系颜值波动蛮大的。然而因陀罗一系都那么好看，颜值高！
00:01:33,1,25,16777215,Tue Sep 20 19:07:47 2016,0,a1186560,2427609839,千年之恋
00:01:33,1,25,16777215,Wed Apr 19 20:08:09 2017,0,6ae23f4d,3244327540,斑斑！！1
00:01:34,1,25,0,Wed Jun  7 16:04:40 2017,0,b6a6f0d0,3438202775,千年之恋
00:01:34,1,25,15138834,Tue Aug  9 15:03:50 2016,0,a193181,2233616697,斑爷斑爷舔舔舔
00:01:35,1,25,16776960,Wed Jul  4 16:11:12 2018,0,20a87baa,1861064024653824,带土和止水是攻啊
00:01:35,1,25,16777215,Fri Sep  7 21:56:20 2018,0,a91aa2eb,4816322165735426,修因柱斑一生推
00:01:35,1,25,16777215,Sat Jul 29 20:45:32 2017,0,e4cd522b,3622114346,阿修罗是被黑绝骗的啊。。。
00:01:35,1,25,16777215,Wed Aug 24 04:04:29 2016,0,a673b20e,2318822671,柱斑大法好
00:01:35,5,25,16776960,Sat Oct  7 15:19:17 2017,0,27a0d1f8,3872595234,宇智波家没有攻的水土不服
00:01:36,1,25,16777215,Mon May 15 23:11:00 2017,0,793c80d,3361958520,水土不服+
00:01:36,1,25,16777215,Tue Oct  4 21:09:36 2016,0,c22a5917,2502576323,你说爱的一族没有攻土哥和止水就不服了
00:01:37,1,25,16777215,Sat Sep 24 16:04:30 2016,0,1970834a,2438544517,画质简直
00:01:37,1,25,16777215,Sun Aug 21 23:11:18 2016,0,9e6ff9d1,2306888385,止水是攻
00:01:37,5,25,16777215,Thu Jun 15 07:07:33 2017,0,d4e6e4f3,3458734974,……这幕代表修因故事的结束么
00:01:38,1,25,16777215,Sat Apr 20 05:41:20 2019,0,7dda1fcd,14977810033016834,咳咳宇智波族内通婚所以前面那个宇智波没攻的你站住/手动滑稽
00:01:38,1,25,16777215,Thu Sep 22 18:06:40 2016,0,7805fdf1,2432435201,带土是的
00:01:38,1,25,16777215,Wed May 10 09:09:59 2017,0,867a7e13,3336052090,带土是攻
00:01:39,1,25,15138834,Thu Feb 28 21:39:20 2019,0,29bf4b3e,12697723579400196,阿修罗三生三世的直球因陀罗就是没有get到
00:01:40,1,25,16777215,Fri Dec  7 15:41:35 2018,0,1ba7bee4,8926695352434688,止水和带土不服
00:01:40,1,25,16777215,Sat Nov  5 23:11:41 2016,0,8f0f467e,2635716661,水土不服
00:01:40,1,25,16777215,Thu Mar  2 22:10:35 2017,0,f764fcd1,3061371572,土哥第一个不服！
00:01:40,1,25,6830715,Fri Sep  7 21:57:12 2018,0,a91aa2eb,4816349613785088,水土不服很骚哈哈哈哈哈土哥超攻
00:01:41,1,25,16777215,Tue Oct  3 13:22:56 2017,0,ee987b22,3856112756,水土不服
00:01:41,1,25,16777215,Wed Jul 13 22:10:16 2016,0,c416ef1c,2081492323,话说这是羽村升天吧
00:01:41,4,25,6830715,Sat May 20 21:09:25 2017,0,77586325,3381719829,水土不服
00:01:42,1,25,16777215,Sun Jun 24 17:19:28 2018,0,c8b69cc5,1410226357010496,前面的，被骗的不是因陀罗吗……
00:01:42,1,25,16777215,Wed Oct 11 23:36:54 2017,0,a0676009,3885669440,止水是攻。。。。。
00:01:43,1,25,15772458,Sun Jan 22 01:01:08 2017,0,24d10a7,2880835068,水土不服笑尿
00:01:43,1,25,16777215,Tue Oct  3 14:05:59 2017,0,df434bc4,3856288933,止水不是攻么
00:01:44,1,25,15138834,Fri Sep  7 21:57:25 2018,0,a91aa2eb,4816356145365060,土哥绝对攻啊
00:01:44,1,25,16777215,Thu Jan 24 10:18:05 2019,0,35994a8a,11090846429478914,哈哈哈哈怎么就朱迪是黑长直
